Class,Order,Category,Common Name,Scientific Name,Elcode,Range Preview,Model Preview,Range Data,Model Data,Range WMS,Model WMS
Amphibians,,Amphibians,Frogs: Coastal Tailed Frog,Ascaphus truei,AAABA01010,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAABA01010_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAABA01010_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAABA01010_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAABA01010_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAABA01010_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAABA01010_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Long-toed Salamander,Ambystoma macrodactylum,AAAAA01080,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAA01080_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAA01080_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAA01080_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAA01080_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAA01080_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAA01080_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Tiger Salamander,Ambystoma tigrinum,AAAAA01140,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAA01140_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAA01140_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAA01140_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAA01140_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAA01140_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAA01140_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Clouded Salamander,Aneides ferreus,AAAAD01020,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD01020_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD01020_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD01020_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD01020_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD01020_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD01020_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Black Salamander,Aneides flavipunctatus,AAAAD01030,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD01030_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD01030_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD01030_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD01030_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD01030_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD01030_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: California Slender Salamander,Batrachoseps attenuatus,AAAAD02020,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD02020_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD02020_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD02020_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD02020_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD02020_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD02020_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Oregon Slender Salamander,Batrachoseps wrightorum,AAAAD02100,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD02100_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD02100_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD02100_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD02100_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD02100_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD02100_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Ensatina,Ensatina eschscholtzii,AAAAD04010,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD04010_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD04010_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD04010_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD04010_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD04010_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD04010_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Dunn's Salamander,Plethodon dunni,AAAAD12040,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12040_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12040_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD12040_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD12040_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12040_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12040_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Del Norte Salamander,Plethodon elongatus,AAAAD12050,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12050_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12050_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD12050_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD12050_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12050_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12050_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Larch Mountain Salamander,Plethodon larselli,AAAAD12100,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12100_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12100_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD12100_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD12100_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12100_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12100_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Siskiyou Mountains Salamander,Plethodon stormi,AAAAD12180,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12180_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12180_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD12180_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD12180_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12180_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12180_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Van Dyke's Salamander,Plethodon vandykei,AAAAD12190,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12190_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12190_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD12190_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD12190_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12190_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12190_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Western Redback Salamander,Plethodon vehiculum,AAAAD12200,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12200_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12200_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAD12200_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAD12200_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12200_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAD12200_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Roughskin Newt,Taricha granulosa,AAAAF02010,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAF02010_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAF02010_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAF02010_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAF02010_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAF02010_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAF02010_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Cope's Giant Salamander,Dicamptodon copei,AAAAH01010,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAH01010_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAH01010_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAH01010_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAH01010_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAH01010_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAH01010_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Pacific Giant Salamander,Dicamptodon tenebrosus,AAAAH01040,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAH01040_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAH01040_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAH01040_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAH01040_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAH01040_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAH01040_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Olympic Torrent Salamander,Rhyacotriton olympicus,AAAAJ01010,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01010_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01010_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAJ01010_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAJ01010_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01010_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01010_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Southern Torrent Salamander,Rhyacotriton variegatus,AAAAJ01020,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01020_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01020_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAJ01020_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAJ01020_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01020_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01020_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Cascade Torrent Salamander,Rhyacotriton cascadae,AAAAJ01030,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01030_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01030_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAJ01030_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAJ01030_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01030_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01030_MODEL_MAP/MapServer
Amphibians,,Amphibians,Salamanders: Columbia Torrent Salamander,Rhyacotriton kezeri,AAAAJ01040,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01040_RANGE_MAP/MapServer,http://www.arcgis.com/home/webmap/viewer.html?url=http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01040_MODEL_MAP/MapServer,https://s3.amazonaws.com/GapFTP/NW_Species_Ranges/AAAAJ01040_RANGE_MAP.zip,https://s3.amazonaws.com/GapFTP/NW_Species_Models/AAAAJ01040_FINAL_MODEL.zip,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01040_RANGE_MAP/MapServer,http://lc.gapanalysisprogram.com/ArcGIS/rest/services/NW_GAP_Data/AAAAJ01040_MODEL_MAP/MapServer
